               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.018249,            0.018634,          0.00091524,             0.98078,                   1,             0.99432,              0.8596,            0.011221,           0.0066438,          0.00032854,            0.007723,            0.007723,            0.007723
                 140,            0.018592,            0.019451,          0.00092267,             0.98367,                   1,             0.99266,             0.83427,            0.011705,           0.0063606,          0.00030925,           0.0077065,           0.0077065,           0.0077065
                 141,            0.018666,            0.018238,          0.00089473,             0.97871,             0.89524,             0.97833,             0.67526,            0.022844,            0.014259,           0.0011932,             0.00769,             0.00769,             0.00769
                 142,            0.018303,            0.019195,            0.001004,             0.98153,                   1,              0.9838,             0.82997,             0.01119,           0.0064315,          0.00043957,           0.0076735,           0.0076735,           0.0076735
                 143,            0.017972,             0.01752,          0.00093677,             0.98119,                   1,             0.98553,             0.84055,            0.010969,            0.006265,          0.00040357,            0.007657,            0.007657,            0.007657
                 144,            0.018761,            0.019088,           0.0009045,             0.99255,             0.96343,             0.98153,             0.77142,            0.018773,           0.0095047,          0.00045654,           0.0076405,           0.0076405,           0.0076405
                 145,            0.017963,            0.018644,          0.00093349,             0.98143,                   1,             0.99151,             0.85459,            0.010745,           0.0062997,          0.00036757,            0.007624,            0.007624,            0.007624
                 146,            0.018254,            0.018578,          0.00082331,             0.98097,                   1,             0.98971,             0.86094,            0.010674,           0.0062599,           0.0002877,           0.0076075,           0.0076075,           0.0076075
                 147,            0.018211,            0.018779,          0.00097295,             0.98154,                   1,             0.99493,             0.84728,            0.011209,           0.0063095,            0.000337,            0.007591,            0.007591,            0.007591
                 148,            0.019402,            0.019289,          0.00096773,             0.98074,                   1,             0.99172,             0.83971,            0.011208,            0.006376,          0.00032759,           0.0075745,           0.0075745,           0.0075745
                 149,            0.018877,            0.018665,           0.0008586,             0.98116,                   1,             0.99136,             0.84609,            0.011082,           0.0064673,          0.00032036,            0.007558,            0.007558,            0.007558
                 150,            0.018569,            0.018578,          0.00092682,             0.98148,                   1,             0.98975,             0.84293,            0.011215,           0.0062531,          0.00036502,           0.0075415,           0.0075415,           0.0075415
                 151,             0.01817,            0.018686,           0.0010303,             0.98135,                   1,             0.98688,             0.84262,            0.010741,           0.0064444,          0.00039523,            0.007525,            0.007525,            0.007525
                 152,            0.018041,            0.018731,           0.0009724,             0.98136,                   1,             0.98788,             0.84677,            0.011031,           0.0064389,          0.00033369,           0.0075085,           0.0075085,           0.0075085
                 153,            0.017929,            0.019104,          0.00095017,             0.99663,                   1,               0.995,             0.83343,            0.012303,            0.006572,          0.00031447,            0.007492,            0.007492,            0.007492
                 154,            0.018403,             0.01812,          0.00090119,             0.98149,                   1,             0.98495,             0.85323,            0.011083,           0.0065947,          0.00029668,           0.0074755,           0.0074755,           0.0074755
                 155,            0.018146,            0.018629,          0.00094191,             0.98115,                   1,             0.99132,             0.84665,             0.01138,           0.0061426,          0.00031368,            0.007459,            0.007459,            0.007459
                 156,            0.018426,            0.018139,          0.00092244,             0.99337,             0.97749,             0.99387,             0.75858,            0.020598,           0.0095636,          0.00061232,           0.0074425,           0.0074425,           0.0074425
